outcome_key,outcome,direction,model,sample_mode,lag,term,coefficient,std_error,p_value,ci_low,ci_high,standardized_coefficient,standardized_ci_low,standardized_ci_high,n_obs,n_countries
legislative,Legislative,corruption_to_populism,granger,outcome_specific,1,corruption_legislative_lag1,-0.011653591441254725,0.00682457154448735,0.08780372535318115,-0.025034298845773423,0.0017271159632639733,-0.03659173790738206,-0.07860654002479674,0.005423064210032625,3527,95
legislative,Legislative,corruption_to_populism,granger,outcome_specific,2,corruption_legislative_lag2,0.005461215771145394,0.0068378708515589165,0.42453677584053406,-0.007945567136494261,0.01886799867878505,0.01714796482790525,-0.024948713162781206,0.0592446428185917,3527,95
judicial,Judicial,populism_to_corruption,lead_lag,outcome_specific,1,populism_governing_lag1,-0.35075023780618375,0.1258167156564775,0.0053347585348295645,-0.5974293131898014,-0.10407116242256612,-0.11380999854766116,-0.19385141316435275,-0.03376858393096959,3750,95
judicial,Judicial,populism_to_corruption,lead_lag,outcome_specific,2,populism_governing_lag2,-0.20699857469643476,0.09020911160971615,0.021810261618370852,-0.3838645827380037,-0.0301325666548658,-0.06716604850482537,-0.12455480537136944,-0.009777291638281307,3750,95
judicial,Judicial,populism_to_corruption,granger,outcome_specific,1,populism_governing_lag1,-0.03927473798695528,0.027054861510107484,0.14668039981644432,-0.09231911632752858,0.013769640353618023,-0.01274370589514779,-0.029955328215524175,0.004467916425228594,3750,95
judicial,Judicial,populism_to_corruption,granger,outcome_specific,2,populism_governing_lag2,0.022952752492352388,0.028908929695827576,0.42726661639326236,-0.03372675420679022,0.079632259191495,0.007447614987114906,-0.01094351887343025,0.025838748847660062,3750,95
judicial,Judicial,corruption_to_populism,lead_lag,outcome_specific,1,corruption_judicial_lag1,-0.05581671386911789,0.021099593082193422,0.008195040156793842,-0.09718504943032426,-0.014448378307911527,-0.17177097265017655,-0.2990783460818974,-0.044463599218455684,3750,95
judicial,Judicial,corruption_to_populism,lead_lag,outcome_specific,2,corruption_judicial_lag2,-0.005493052394765746,0.017847806286512086,0.7582737260365175,-0.040485861811310496,0.029499757021779004,-0.016904380198371666,-0.12459163895273839,0.09078287855599505,3750,95
judicial,Judicial,corruption_to_populism,granger,outcome_specific,1,corruption_judicial_lag1,-0.008368410593752072,0.007720981785884489,0.27850244778081024,-0.023506343525255925,0.0067695223377517814,-0.025753039324304308,-0.07233868156857512,0.020832602919966508,3750,95
judicial,Judicial,corruption_to_populism,granger,outcome_specific,2,corruption_judicial_lag2,0.0019324233256009465,0.006522905775150287,0.7670547838048747,-0.010856534462548077,0.01472138111374997,0.005946860916762335,-0.03341001923930561,0.04530374107283028,3750,95
